ID,TARGET
0,256
1,339
2,142
3,276
4,549
5,473
6,366
7,232
8,300
9,418
10,552
11,653
12,505
13,130
14,261
15,1479
16,495
17,245
18,441
19,258
20,293
21,321
22,324
23,100
24,389
25,474
26,280
27,202
28,262
29,333
30,660
31,552
32,431
33,166
34,212
35,264
36,349
37,405
38,590
39,147
40,506
41,415
42,782
43,289
44,658
45,161
46,447
47,348
48,275
49,283
50,255
51,218
52,303
53,178
54,167
55,324
56,1507
57,142
58,734
59,289
60,526
61,430
62,448
63,126
64,386
65,142
66,471
67,208
68,264
69,361
70,264
71,1253
72,148
73,630
74,247
75,387
76,487
77,202
78,664
79,119
80,347
81,401
82,362
83,437
84,150
85,418
86,133
87,464
88,621
89,143
90,198
91,786
92,706
93,206
94,2340
95,167
96,272
97,313
98,326
99,142
100,640
101,262
102,156
103,203
104,269
105,315
106,317
107,495
108,275
109,442
110,96
111,273
112,301
113,285
114,325
115,183
116,264
117,382
118,145
119,189
120,514
121,354
122,170
123,314
124,369
125,207
126,270
127,428
128,353
129,255
130,273
131,380
132,253
133,475
134,126
135,204
136,670
137,613
138,190
139,198
140,740
141,601
142,116
143,569
144,197
145,380
146,395
147,393
148,300
149,885
150,291
151,487
152,370
153,176
154,301
155,520
156,332
157,160
158,249
159,298
160,289
161,357
162,269
163,437
164,240
165,282
166,219
167,263
168,239
169,393
170,566
171,289
172,303
173,287
174,277
175,254
176,238
177,189
178,357
179,239
180,252
181,505
182,168
183,136
184,340
185,261
186,510
187,453
188,277
189,611
190,379
191,323
192,127
193,297
194,148
195,207
196,141
197,577
198,446
199,556
200,174
201,184
202,362
203,163
204,1084
205,415
206,401
207,1445
208,588
209,202
210,134
211,169
212,444
213,375
214,216
215,258
216,265
217,163
218,560
219,160
220,746
221,295
222,638
223,793
224,164
225,347
226,97
227,228
228,218
229,249
230,337
231,229
232,531
233,362
234,278
235,215
236,149
237,364
238,186
239,285
240,248
241,509
242,421
243,230
244,285
245,320
246,326
247,330
248,157
249,165
250,167
251,229
252,727
253,451
254,1045
255,128
256,218
257,454
258,194
259,328
260,249
261,235
262,377
263,209
264,195
265,223
266,635
267,458
268,210
269,272
270,550
271,309
272,297
273,124
274,574
275,298
276,262
277,244
278,351
279,261
280,295
281,409
282,354
283,466
284,409
285,405
286,439
287,315
288,176
289,855
290,410
291,230
292,485
293,502
294,152
295,335
296,151
297,590
298,410
299,231
300,398
301,676
302,157
303,212
304,279
305,2039
306,177
307,311
308,297
309,431
310,437
311,134
312,153
313,550
314,207
315,688
316,207
317,934
318,340
319,109
320,221
321,322
322,353
323,383
324,346
325,218
326,575
327,122
328,481
329,155
330,433
331,279
332,619
333,587
334,146
335,397
336,827
337,567
338,289
339,154
340,302
341,692
342,183
343,230
344,154
345,245
346,265
347,717
348,328
349,385
350,301
351,219
352,277
353,412
354,506
355,463
356,431
357,250
358,721
359,390
360,323
361,215
362,338
363,460
364,153
365,289
366,169
367,780
368,357
369,437
370,435
371,356
372,349
373,137
374,551
375,169
376,445
377,291
378,276
379,277
380,200
381,116
382,196
383,743
384,181
385,546
386,669
387,381
388,210
389,829
390,219
391,440
392,188
393,456
394,328
395,274
396,408
397,213
398,278
399,257
400,191
401,687
402,429
403,236
404,293
405,253
406,102
407,351
408,928
409,240
410,291
411,249
412,353
413,387
414,368
415,290
416,966
417,251
418,267
419,538
420,351
421,234
422,489
423,475
424,247
425,141
426,401
427,260
428,318
429,205
430,278
431,198
432,298
433,403
434,283
435,290
436,160
437,172
438,169
439,325
440,645
441,240
442,434
443,321
444,228
445,147
446,409
447,212
448,276
449,292
450,528
451,262
452,263
453,224
454,491
455,976
456,532
457,714
458,370
459,659
460,417
461,332
462,1396
463,189
464,192
465,254
466,332
467,283
468,185
469,218
470,207
471,421
472,231
473,246
474,508
475,318
476,207
477,143
478,329
479,220
480,250
481,615
482,409
483,174
484,299
485,550
486,334
487,511
488,162
489,102
490,524
491,532
492,374
493,119
494,177
495,443
496,393
497,296
498,379
499,301
500,350
501,1155
502,400
503,159
504,1090
505,221
506,201
507,226
508,312
509,243
510,166
511,405
512,351
513,192
514,183
515,97
516,222
517,351
518,257
519,129
520,213
521,480
522,612
523,116
524,158
525,324
526,429
527,144
528,433
529,118
530,485
531,353
532,296
533,731
534,290
535,239
536,290
537,468
538,1315
539,155
540,342
541,313
542,211
543,491
544,131
545,213
546,249
547,361
548,116
549,675
550,211
551,192
552,541
553,536
554,220
555,1016
556,257
557,675
558,768
559,394
560,472
561,96
562,528
563,505
564,223
565,447
566,315
567,227
568,315
569,223
570,593
571,101
572,406
573,278
574,229
575,494
576,285
577,280
578,157
579,133
580,314
581,300
582,170
583,413
584,297
585,508
586,424
587,98
588,183
589,266
590,152
591,253
592,278
593,404
594,252
595,321
596,875
597,551
598,293
599,242
600,769
601,669
602,362
603,725
604,522
605,1517
606,253
607,1034
608,142
609,379
610,510
611,365
612,419
613,146
614,221
615,121
616,309
617,395
618,628
619,347
620,147
621,588
622,495
623,866
624,274
625,239
626,224
627,358
628,126
629,343
630,438
631,201
632,369
633,356
634,236
635,169
636,368
637,275
638,484
639,424
640,1154
641,335
642,189
643,182
644,370
645,508
646,460
647,134
648,266
649,155
650,154
651,216
652,478
653,492
654,326
